# Fake-data ensemble: 32 independent Poisson throws through the full chain
# (throw -> rebuild universes -> unfold), FHC d(sigma)/dp_mu.
# Reference: fixed CV truth smeared by each member's own A_C (h_genie_tune).
# sigma_stat from the released cov_DataStats, converted from per-bin integral
# to density by dividing by the bin width.
bin	pull_mean	pull_width	cov68_pct	cov95_pct
0	-0.248	1.034	68.8	93.8
1	-0.251	1.059	59.4	96.9
2	-0.235	1.070	68.8	93.8
3	-0.251	1.095	62.5	93.8
4	-0.191	1.016	59.4	96.9
5	-0.097	0.972	59.4	96.9
6	-0.139	1.023	68.8	96.9
all	-0.202	1.039	63.8	95.5
#
# cos(theta_mu), 32 members, same procedure.
bin	pull_mean	pull_width	cov68_pct	cov95_pct
c0	-0.314	0.820	75.0	96.9
c1	-0.121	0.908	75.0	96.9
c2	0.020	0.794	87.5	96.9
c3	-0.311	1.116	68.8	90.6
c4	-0.186	1.179	59.4	90.6
call	-0.182	0.963	73.1	94.4
